표 1.1 하둡 생태계

컴포넌트	설명
Avro	데이터를 간단한 바이너리 형태로 변형시키는 프레임워크
Flume	스트리밍 데이터를 하둡으로 이동시키는 데이터 이동 툴
HBase	HDFS를 스토리지에 사용하는 분산 컬럼 지향의 데이터베이스
HCatalog	당신이 HDFS에 저장한 데이터에 대한 관계형 뷰를 제공하는 서비스
Hive	HDFS 데이터를 위한 분산 데이터 웨어하우스로 SQL기반 쿼리를 제공한다.
Hue	사용자와 관리 인터페이스로 하여금 HDFS 파일들을 검색하게 하고 Pig나 Hive 쿼리를 작동시키고 Oozie를 통한 워크플로우를 스케줄링한다.
Kafka	많은 양의 실시간 데이터를 처리하는 메시지 큐 프레임워크
Mahout	맵리듀스를 이용해서 개발된 머신 러닝 알고리즘 라이브러리
Oozie	작업 스케줄링 툴
Pig	대규모 데이터 셋을 분석하기 위한 프레임 워크. 데이터 파이프 라인을 만들 수 있게 함
Sqoop	HDFS와 관계형 데이터베이스 사이의 데이터를 이동시키기 위한 툴
Storm	실시간 프로세싱을 지원하는 객체 관계형 맵핑 라이브러리
Tez	배치 프로세싱를 위한 데이터 처리 프레임워크로 인터렉티브한 쿼리 기능도 가지고 있다.
ZooKeeper	하둡, HBase, Storm, Hive 그리고 Kafka와 같은 분산형 응용프로그램에 의해 사용되는 조정 서비스
